Unnamed: 0,번호,제목,저자,출판사,출판일
,1,Artificial intelligence in Internet of things,"Ghosh, Ashish; Chakraborty, Debasrita; Law, Anwesha",IEEE,2018
,2,Artificial intelligence for monitoring and supervisory control of process systems,"Uraikul, V.; Chan, C. W.; Tontiwachwuthikul, P.","Elsevier Science B.V., Amsterdam.",2007
,3,Artificial Intelligence Enabled Internet of Things: Network Architecture and Spectrum Access,"Song, Hao; Bai, Jianan; Yi, Yang; Wu, Jinsong; Liu, Lingjia",INSTITUTE OF ELECTRICAL & ELECTRONIC ENGINEERS,2020
,4,Artificial Intelligence Evolved from Random Behaviour: Departure from the State of the Art,"Pietruszkiewicz, W.; Imada, A.",Springer Science,2013
,5,Artificial Intelligence Methods in Early Childhood Education,"Prentzas, J.",Springer Science,2013
,6,"Collective Intelligence of the Artificial Life Community on Its Own Successes, Failures, and Future","Rasmussen, S.; Raven, M. J.; Keating, G. N.; Bedau, M. A.",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2003
,7,"Artificial Intelligence, Autonomous Systems and Robotics: Legal Innovations","Rault,  Raphaël; Trentesaux,  Damien",Springer Verlag,2018
,8,Realization of artificial intelligence for integrative electroencephalogram interpretation,"Nakamura, M.",SPRINGER,1998
,9,Artificial intelligence for management and control of pollution minimization and mitigation processes,"Chan, C. W.; Huang, G. H.","Elsevier Science B.V., Amsterdam.",2003
,10,"Artificial intelligence and the future of warfare: the USA, China, and strategic stability","Grzegorzewski, Mark",Taylor & Francis,2023
,11,Artificial intelligence techniques in product engineering,"Yan Chan, Kit; Fung Yuen, Kevin Kam; Palade, Vasile; Yue, Yong","Elsevier Science B.V., Amsterdam.",2016
,12,Artificial Intelligence as a Strategic Partner to HRM 4.0,"Agarwal, Shivani",Springer Nature,2023
,13,Artificial intelligence in project management: systematic literature review,"Bento, Sofia",Inderscience,2022
,14,Artificial intelligence in industrial design: A semi-automated literature survey,"Tsang, Y.P.","Elsevier Science B.V., Amsterdam.",2022
,15,Artificial intelligence in prognostics and health management of engineering systems,"Ochella, Sunday; Shafiee, Mahmood; Dinmohammadi, Fateme","Elsevier Science B.V., Amsterdam.",2022
,16,Artificial intelligence snapchat: Visual conversation agent,"Arsovski, Sasa",Springer Nature,2020
,17,Artificial Intelligence and Environmental Decision Support Systems,"Cortes, U.",KLUWER ACADEMIC PUBLISHERS BOSTON,2000
,18,"Artificial intelligence, philosophy and existence proofs","Nelson, R. J.",unknown,1982
,19,Artificial Intelligence and Environmental Applications,"Cortes, U.",KLUWER ACADEMIC PUBLISHERS BOSTON,2000
,20,Artificial intelligence in Internet of things,"Ghosh, Ashish; Chakraborty, Debasrita; Law, Anwesha",IEEE,2019
,21,Artificial intelligence techniques for small boats detection in radar clutter. Real data validation,"del-Rey-Maestre, Nerea; Mata-Moya, David; Jarabo-Amores, María-Pilar; Gomez-del-Hoyo, Pedro-Jose; Barcena-Humanes, Jose-Luis","Elsevier Science B.V., Amsterdam.",2018
,22,Machine learning and artificial intelligence in cardiac transplantation: A systematic review,"Naruka, Vinci; Arjomandi Rad, Arian; Subbiah Ponniah, Hariharan; Francis, Jeevan; Vardanyan, Robert; Tasoudis, Panagiotis; Magouliotis, Dimitrios E.; Lazopoulos, George L.; Salmasi, Mohammad Yousuf; Athanasiou, Thanos",John Wiley & Sons Ltd,2022
,23,Artificial intelligence heuristics in solving vehicle routing problems with time window constraints,"Tan, K. C.; Lee, L. H.; Ou, K.",PERGAMON PRESS,2001
,24,Artificial intelligence techniques empowered edge-cloud architecture for brain CT image analysis,"Vasconcelos, Francisco F.X.; Sarmento, Róger M.; Rebouças Filho, Pedro P.; de Albuquerque, Victor Hugo C.","Elsevier Science B.V., Amsterdam.",2020
,25,Cognitive robotics: a new approach to artificial intelligence,"Christaller, T.",SPRINGER,1999
,26,Artificial Intelligence for SAR Focusing,"Trematerra, Oreste",Springer Verlag,2023
,27,Artificial intelligence in service-oriented software design,"Rodríguez, Guillermo; Soria, Álvaro; Campo, Marcelo","Elsevier Science B.V., Amsterdam.",2016
,28,Artificial intelligence based real-time earthquake prediction,"Bhatia, Munish","Elsevier Science B.V., Amsterdam.",2023
,29,Psychometric artificial intelligence,"Bringsjord, S.",Taylor & Francis,2011
,30,Inductive ambiguity and the limits of artificial intelligence,Satosi Watanabe,BLACKWELL PUBLISHERS,1987
,31,Simpson's Paradox in Artificial Intelligence and in Real Life,"Neufeld, E.",BLACKWELL PUBLISHERS,1995
,32,On artificial immune systems and swarm intelligence,"Timmis, J.; Andrews, P.; Hart, E.",SPRINGER SCIENCE + BUSINESS MEDIA,2010
,33,High‐speed and area‐efficient Sobel edge detector on field‐programmable gate array for artificial intelligence and machine learning applications,"Prateek
 Sikka","John Wiley & Sons, Inc.",2021
,34,An artificial intelligence approach to the efficiency improvement of a universal motor,"Papa, G.; Korousic-Seljak, B.","Elsevier Science B.V., Amsterdam.",2005
,35,"A review of mathematical modeling, artificial intelligence and datasets used in the study, prediction and management of COVID-19","Mohamadou, Youssoufa",Springer Nature,2020
,36,Multivalued logics: a uniform approach to reasoning in artificial intelligence,Matthew L. Ginsberg,BLACKWELL PUBLISHERS,1988
,37,How Artificial Intelligence and machine learning research impacts payment card fraud detection: A survey and industry benchmark,"Ryman-Tubb, Nick F.; Krause, Paul; Garn, Wolfgang","Elsevier Science B.V., Amsterdam.",2018
,38,"Explainable Artificial Intelligence (XAI): Conception, Visualization and Assessment Approaches Towards Amenable XAI","Nizam, Tasleem",Springer Nature,2023
,39,Using artificial intelligence techniques in collaborative filtering recommender systems: survey,"Kilani, Yousef; Alhijawi, Bushra; Alsarhan, Ayoub",Inderscience,2018
,40,Multidisciplinary approaches to artificial swarm intelligence for heterogeneous computing and cloud scheduling,"Wang, J.",Springer Science + Business Media,2015
,41,"Logic, probability theory, and artificial intelligence - Part I: the probabilistic foundations of logic",CHARLES G. MORGAN,BLACKWELL PUBLISHERS,1991
,42,Protecting artificial intelligence IPs: a survey of watermarking and fingerprinting for machine learning,"Regazzoni, Francesco; Palmieri, Paolo; Smailbegovic, Fethulah; Cammarota, Rosario; Polian, Ilia",IEEE,2021
,43,Special Issue on Emerging Artificial Intelligence Applications and Innovations: Papers from AIAI 2006,"Maglogiannis, I.; Karpouzis, K.; Bramer, M.",Springer Science + Business Media,2009
,44,On the practice of artificial intelligence based predictive control scheme: a case study,"Mazinan, A. H.",Springer Science + Business Media,2012
,45,Special issue on advances in applied artificial intelligence,"Bosse, T.",Springer Science + Business Media,2015
,46,Design of online intelligent English teaching platform based on artificial intelligence techniques,Zhuomin Sun,"John Wiley & Sons, Inc.",2021
,47,Explainable Artificial Intelligence in Health Care: How XAI Improves User Trust in High-Risk Decisions,"Praveen, Sheeba",Springer Nature,2023
,48,A glance at artificial intelligence in France: editorial,Patrick Saint-Dizier,BLACKWELL PUBLISHERS,1988
,49,The application of robotics and artificial intelligence in embroidery: challenges and benefits,"Chen, Ling",Emerald Group Publishing Limited,2022
,50,Trusting artificial intelligence in cybersecurity is a double-edged sword,"Taddeo, Mariarosaria; McCutcheon, Tom; Floridi, Luciano",Springer Nature,2019
,51,Realization of interactive animation creation based on artificial intelligence technology,"Cai, YuXin; Dong, Haibin; Wang, Wei; Song, Hongchang",John Wiley & Sons Ltd,2022
,52,Talking artificial intelligence,"Jerde, Trenton",Springer Nature,2019
,53,Emerging Artificial Intelligence Application: Transforming Television into Smart Television,"Prabhala, S.; Ganapathy, S.",Springer Science,2011
,54,An enhanced ensemble machine learning classification method to detect attention deficit hyperactivity for various artificial intelligence and telecommunication applications,"Sheriff, Meeran; Gayathri, Rajagopal",John Wiley & Sons Ltd,2022
,55,Explainable Artificial Intelligence (XAI): Understanding and Future Perspectives,"Gupta, Megha",Springer Nature,2023
,56,Long Live the IEEE Transactions on Artificial Intelligence,"Bouchon-Meunier, Bernadette",INSTITUTE OF ELECTRICAL & ELECTRONIC ENGINEERS,2020
,57,Investigation of Artificial Intelligence Methods in the Short-Term and Middle-Term Forecasting in Financial Sphere,"Zaychenko, Yuriy",Springer Nature,2023
,58,IEEE Transactions on Artificial Intelligence,unknown,INSTITUTE OF ELECTRICAL & ELECTRONIC ENGINEERS,2020
,59,IEEE Transactions on Artificial Intelligence Call for Papers,unknown,INSTITUTE OF ELECTRICAL & ELECTRONIC ENGINEERS,2020
,60,Application of Artificial Intelligence in the Food Industry: AI-Based Automatic Pruning of Dormant Apple Trees,"Elfiky, Noha",Springer Nature,2023
,61,2023 IEEE Conference on Artificial Intelligence,unknown,IEEE,2022
,62,Internet of Intelligent Things: Bringing Artificial Intelligence into Things and Communication Networks,"Arsenio, A.; Serra, H.; Francisco, R.; Nabais, F.; Andrade, J.; Serrano, E.",Springer Science,2014
,63,Planning as Artificial Intelligence Problem - Short Introduction and Overview,"Galuszka, A.; Pacholczyk, M.; Bereska, D.; Skrzypczyk, K.",Springer Science,2013
,64,Explainable and Trustworthy Artificial Intelligence [Guest Editorial],"Alonso-Moral, Jose Maria; Mencar, Corrado; Ishibuchi, Hisao",INSTITUTE OF ELECTRICAL & ELECTRONIC ENGINEERS,2022
,65,Robotics and Artificial Intelligence in the Nuclear Industry: From Teleoperation to Cyber Physical Systems,"Shanahan, Declan",Springer Nature,2023
,66,Utilization of Artificial Intelligence in the Food Industry,"Garg, Vikas",Springer Nature,2023
,67,Deep Machine LearningA&iquest;A New Frontier in Artificial Intelligence Research [Research Frontier],"Arel, I.; Rose, D.C.; Karnowski, T.P.",INSTITUTE OF ELECTRICAL &amp; ELECTRONIC ENGINEERS,2010
,68,Interview with Founding Editor-in-Chief of IEEE Transactions on Artificial Intelligence [Career Profile],unknown,INSTITUTE OF ELECTRICAL & ELECTRONIC ENGINEERS,2020
,69,Special issue: artificial intelligence and machine learning applications in Health Sciences,"de Cos, Francisco Javier",Taylor & Francis,2019
,70,Experimental and artificial intelligence approaches to measuring the wear behavior of DIN St28 steel boronized by the box boronizing method using a mechanically alloyed powder source,"Albayrak, Muhammet Gökhan","Elsevier Science B.V., Amsterdam.",2023
,71,Conference Report on the Inaugural 2023 IEEE Conference on Artificial Intelligence (IEEE CAI 2023) [Conference Reports],"Fogel, G. B.Bonissone, P.",IEEE,2023
,72,Measuring an artificial intelligence system's performance on a Verbal IQ test for young children,"Ohlsson, Stellan; Sloan, Robert H.; Turán, György; Urasky, Aaron",Taylor & Francis,2017
,73,Measuring an artificial intelligence system’s performance on a Verbal IQ test for young children,"Ohlsson, Stellan; Sloan, Robert H.; Turán, György; Urasky, Aaron",Taylor & Francis,2017
,74,Drug discovery with explainable artificial intelligence,"Jiménez-Luna, José",Springer Nature,2020
,75,The carbon impact of artificial intelligence,"Dhar, Payal",Springer Nature,2020
,76,Skills for physical artificial intelligence,"Miriyev, Aslan",Springer Nature,2020
,77,Application of artificial intelligence for university information system,"Udupa, Pradeep","Elsevier Science B.V., Amsterdam.",2022
,78,Call for Papers: IEEE Conference on Artificial Intelligence,unknown,IEEE,2023
,79,Review of artificial intelligence applications in engineering design perspective,"Yüksel, Nurullah","Elsevier Science B.V., Amsterdam.",2023
,80,IEEE Conference on Artificial Intelligence,unknown,IEEE,2023
,81,"CCNSim: An artificial intelligence enabled classification, clustering and navigation simulator for Social Internet of Things","S.D., Mohana","Elsevier Science B.V., Amsterdam.",2023
,82,Review of artificial intelligence and internet of things technologies in land and water management research during 1991–2021: A bibliometric analysis,"Patel, Abhishek","Elsevier Science B.V., Amsterdam.",2023
,83,Application of artificial intelligence CFD based on neural network in vapor-water two-phase flow,"Shang, Z.","Elsevier Science B.V., Amsterdam.",2005
,84,Applications of artificial intelligence for optimization of compressor scheduling,"Nguyen, H. H.; Chan, C. W.","Elsevier Science B.V., Amsterdam.",2006
,85,Consumer protection requires artificial intelligence,"Lippi, Marco; Contissa, Giuseppe; Lagioia, Francesca; Micklitz, Hans-Wolfgang; Pałka, Przemysław; Sartor, Giovanni; Torroni, Paolo",Springer Nature,2019
,86,The evolution of citation graphs in artificial intelligence research,"Frank, Morgan R.; Wang, Dashun; Cebrian, Manuel; Rahwan, Iyad",Springer Nature,2019
,87,Towards a new generation of artificial intelligence in China,"Wu, Fei",Springer Nature,2020
,88,Application of Artificial Intelligence on Post Pandemic Situation and Lesson Learn for Future Prospects,"Dwivedi, Priyanka",Taylor & Francis,2023
,89,The challenges of deploying artificial intelligence models in a rapidly evolving pandemic,"Hu, Yipeng",Springer Nature,2020
,90,Lessons for artificial intelligence from the study of natural stupidity,"Rich, Alexander S.; Gureckis, Todd M.",Springer Nature,2019
,91,A review of the use of artificial intelligence methods in infrastructure systems,"McMillan, Lauren","Elsevier Science B.V., Amsterdam.",2022
,92,Three fundamental misconceptions of Artificial Intelligence,"Wang, P.",Taylor & Francis,2007
,93,Quantum Computation and Image Processing: New Trends in Artificial Intelligence,"Venegas-Andraca, S. E.; Bose, S.",LAWRENCE ERLBAUM ASSOCIATES LTD,2003
,94,Profile generation system using artificial intelligence for information recovery and analysis,"Chamoso, Pablo",Springer Nature,2020
,95,Market revenue prediction and error analysis of products based on fuzzy logic and artificial intelligence algorithms,"Jian, Zhao",Springer Nature,2020
,96,Using fuzzy measures for modeling human perception of uncertainty in artificial intelligence,"Yager, Ronald R.","Elsevier Science B.V., Amsterdam.",2020
,97,Undercover Algorithm: A Secret Chapter in the Early History of Artificial Intelligence and Satellite Imagery,"O'Connor, Jack",Taylor & Francis,2023
,98,A Universal Measure of Intelligence for Artificial Agents,"Legg, S.; Hutter, M.",LAWRENCE ERLBAUM ASSOCIATES LTD,2005
,99,Review on optimization techniques and role of Artificial Intelligence in home energy management systems,"Nutakki, Mounica","Elsevier Science B.V., Amsterdam.",2023
,100,Editorial note for the special issue on `Artificial Intelligence Techniques for Supply Chain Management',"Benyoucef, L.; Jain, V.","Elsevier Science B.V., Amsterdam.",2009
,1,Artificial Intelligence-Based Image Classification Techniques for Hydrologic Applications,"Thakur, Ritica",Taylor & Francis,2022
,2,Collaboratively built semi-structured content and Artificial Intelligence: The story so far,"Hovy, E.; Navigli, R.; Ponzetto, S. P.","Elsevier Science B.V., Amsterdam.",2013
,3,Context in artificial intelligence: A survey,"Brezillon, P.",World Scientific,1997
,4,Artificial intelligence: Toward integration,"Ezhkova, I. V.",World Scientific,1997
,5,"Rigor mortis: A response to Nilsson's ""Logic and artificial intelligence""","Birnbaum, L.",North-Holland Pub. Co. [etc.],1991
,6,Artificial intelligence-inspired comprehensive framework for Covid-19 outbreak control,"Bhatia, Munish","Elsevier Science B.V., Amsterdam.",2022
,7,Personalized oncology with artificial intelligence: The case of temozolomide,"Houy, Nicolas; Le Grand, François","Elsevier Science B.V., Amsterdam.",2019
,8,Artificial General Intelligence: An Organism and Level Based Position Statement,"Smith, L.S.",IOS Press,2008
,9,Enactive artificial intelligence: Investigating the systemic organization of life and mind,"Froese, T.; Ziemke, T.","Elsevier Science B.V., Amsterdam.",2009
,10,Explanation in artificial intelligence: Insights from the social sciences,"Miller, Tim","Elsevier Science B.V., Amsterdam.",2019
,11,Artificial Intelligence-based Prediction of Diabetes and Prediabetes Using Health Checkup Data in Korea,"Yuk, Hyeonseop",Taylor & Francis,2022
,12,Artificial intelligence: Retrospective/prospective,"Dershowitz, N.",J C BALTZER AG,2000
,13,Evaluation in artificial intelligence: from task-oriented to ability-oriented measurement,"Hernández-Orallo, J.",Springer Science + Business Media,2017
,14,Bilattices and Reasoning in Artificial Intelligence: Concepts and Foundations,"Sim, K. M.",KLUWER ACADEMIC PUBLISHERS,2001
,15,Human Judges in the Era of Artificial Intelligence: Challenges and Opportunities,"Xu, Zichun",Taylor & Francis,2022
,16,A Context-Aware Artificial Intelligence-based System to Support Street Crossings For Pedestrians with Visual Impairments,"Montanha, Aleksandro",Taylor & Francis,2022
,17,Autonomous Vehicles and Embedded Artificial Intelligence: The Challenges of Framing Machine Driving Decisions,"Cunneen, Martin; Mullins, Martin; Murphy, Finbarr",Taylor & Francis,2019
,18,Can autism be catered with artificial intelligence-assisted intervention technology? A comprehensive survey,"Jaliaawala, Muhammad Shoaib",Springer Nature,2020
,19,"Computation, Meaning and Artificial Intelligence: Some Old Problems, Some New Models","Racine, T. P.",THE CANADIAN SOCIETY FOR COMPUTATIONAL STUDIES OF,2002
,20,Editorial: Artificial Intelligence: A New Transactions,"Abbass, Hussein",IEEE,2020
,21,Emerging technologies in artificial intelligence: quantum rule-based systems,"Moret-Bonillo, Vicente",Springer Nature,2018
,22,"Some Real-World Applications of Soft Artificial Intelligence: Scientogram Mining, Assembly Line Balancing, and Forensic Identification","Cordon, O.",IOS Press,2012
,23,Blockchain and Artificial Intelligence: Challenges and Opportunities,"Mérida, Carlos",IOS Press,2018
,24,A prospective on mathematics and artificial intelligence: Problem solving = Modeling + Theorem proving,"Greenberg, H. J.",J C BALTZER AG,2000
,25,Some perspectives on mathematical aspects of artificial intelligence: Logic versus approximation,"Richter, M. M.",J C BALTZER AG,2000
,26,Editorial: What is Artificial Intelligence?,"Abbass, Hussein",IEEE,2021
,27,Temporal representation and reasoning in artificial intelligence: Issues and approaches,"Chittaro, L.",J C BALTZER AG,2000
,28,"Recent Advances in Trustworthy Explainable Artificial Intelligence: Status, Challenges, and Perspectives","Rawal, Atul",IEEE,2021
,29,The coming of age of artificial intelligence in medicine,"Patel, V.L.; Shortliffe, E.H.; Stefanelli, M.; Szolovits, P.; Berthold, M.R.; Bellazzi, R.; Abu-Hanna, A.",amsterdam; Elsevier,2009
,30,Artificial intelligence in medicine AIM'07,"Bellazzi, R.; Abu-Hanna, A.",amsterdam; Elsevier,2009
,31,Artificial intelligence in acute respiratory distress syndrome: A systematic review,"Rashid, Muhammed;Ramakrishnan, Manasvini;Chandran, Viji Pulikkel;Nandish, Siddeshappa;Nair, Sreedharan;Shanbhag, VishalThunga, Girish",Elsevier Science Pub. Co.,2022
,32,Breast cancer detection using artificial intelligence techniques: A systematic literature review,"Nassif, Ali Bou","Elsevier Science B.V., Amsterdam.",2022
,33,The expansion continues: Stitching together the breadth of disciplines impinging on Artificial Intelligence,"Goebel, R.; Williams, M. A.","Elsevier Science B.V., Amsterdam.",2011
,34,The FinCEN Artificial Intelligence System: Identifying Potential Money Laundering from Reports of Large Cash Transactions,"Senator, T. E.; Goldberg, H. G.; Wooton, J.; Cottini, M. A.",AAAI Press,1995
,35,The expanding breadth of artificial intelligence research,"Goebel, R.; Williams, M. A.","Elsevier Science B.V., Amsterdam.",2010
,36,Artificial intelligence for forecasting and diagnosing COVID-19 pandemic: A focused review,"Comito, Carmela","Elsevier Science B.V., Amsterdam.",2022
,37,Artificial Intelligence in Scheduling and Instruction Selection for Digital Signal Processors,"Yu, K. H.",TAYLOR & FRANCIS LTD,1994
,38,The changing role of artificial intelligence in the military,"Gilmore, J.",Nanterre,1992
,39,"Games, computers, and artificial intelligence","Schaeffer, J.; van den Herik, H. J.",ELSEVIER,2002
,40,Artificial intelligence and statistical methods for stratification and prediction of progression in amyotrophic lateral sclerosis: A systematic review,"Tavazzi, Erica","Elsevier Science B.V., Amsterdam.",2023
,41,"It's the data, stupid: Inflection point for Artificial Intelligence in Indian healthcare","Ramaswamy, Anjali","Elsevier Science B.V., Amsterdam.",2022
,42,Artificial intelligence predicts lung cancer radiotherapy response: A meta-analysis,"Xing, Wenmin","Elsevier Science B.V., Amsterdam.",2023
,43,"Artificial Intelligence Measuring, Automatic Control and Expert Systems in Agriculture","Moskvin, G. A.",Elsevier,1998
,44,Artificial Intelligence in Medicine AIME '05,"Miksch, S.; Hunter, J.; Keravnou, E.","Elsevier Science B.V., Amsterdam.",2007
,45,Robot gripper with the elements of artificial intelligence,"Kalas, V.; Gers, E.",World Scientific,1997
,46,Benchmarking of Machine Learning classifiers on plasma proteomic for COVID-19 severity prediction through interpretable artificial intelligence,"Dimitsaki, Stella;Gavriilidis, George I.;Dimitriadis, Vlasios K.Natsiavas, Pantelis",Elsevier,2023
,47,Applied artificial intelligence method for control of robot assembling,"Sgurev, V. S.; Jotsov, V. S.",World Scientific,1997
,48,"Introduction for artificial intelligence and law: special issue ""natural language processing for legal texts""","Robaldo, Livio; Villata, Serena; Wyner, Adam; Grabmair, Matthias",Springer Nature,2019
,49,Erratum to ‘A logic for reasoning about ambiguity’ [Artificial Intelligence 209 (2014) 1–10],"Halpern, J. Y.; Kets, W.","Elsevier Science B.V., Amsterdam.",2014
,50,The coming of age of artificial intelligence in medicine,"Patel, V. L.; Shortliffe, E. H.; Stefanelli, M.; Szolovits, P.; Berthold, M. R.; Bellazzi, R.; Abu-Hanna, A.","Elsevier Science B.V., Amsterdam.",2009
,51,"Reflective Practice, Artificial Intelligence, and Engineering Design: Common Trends and Interrelationships","Dias, W. P. S.",ACADEMIC PRESS,2002
,52,Artificial intelligence in safety engineering,"Zerkani, H.;Baker, M. J.",Computational Mechanics Publications,1994
,53,Introduction to the special issue on Artificial Intelligence for Justice (AI4J),"Bex, F.; Prakken, H.; Engers, T.; Verheij, B.",Springer Science + Business Media,2017
,54,ARTIFICIAL INTELLIGENCE AND GRAPH THEORY TOOLS FOR DESCRIBING SWITCHED LINEAR CONTROL SYSTEMS,"Ibeas, A.; de la Sen, M.",TAYLOR & FRANCIS LTD,2006
,55,Managing Product Quality By Integrating Operations Research And Artificial Intelligence Technologies,"Moon, C. S.; Moore, T. M.; Nasser, S. M.",AAAI Press,1993
,56,Artificial intelligence in biomedical engineering and informatics: An introduction and review,"Peng, Y.; Zhang, Y.; Wang, L.","Elsevier Science B.V., Amsterdam.",2010
,57,Multi-sensor data fusion and the use of artificial intelligence,"Zuidgeest, R. G.",Nanterre,1992
,58,Artificial intelligence in physical rehabilitation: A systematic review,"Sumner, Jennifer;Lim, Hui Wen;Chong, Lin Siew;Bundele, Anjali;Mukhopadhyay, AmartyaKayambu, Geetha",Elsevier Science,2023
,59,The role of databanks for artificial intelligence based measurement and control in computer integrated production,"Osanna, P. H.;Sariguel, E.;Durakbasa, N. M.;Osanna, A.",Computational Mechanics Publications,1994
,60,The role of databanks for artificial intelligence based measurement and control in computer integrated production,"Osanna, P. H.;Sariguel, E.;Durakbasa, N. M.;Osanna, A.",Computational Mechanics Pubns.,1994
,61,Preserving the rule of law in the era of artificial intelligence (AI),"Greenstein, Stanley",Springer,2022
,62,Artificial Intelligence and Human Resources Management: A Bibliometric Analysis,"Palos-Sánchez, P.R.",Taylor & Francis,2022
,63,Artificial Intelligence Aided Agricultural Sensors for Plant Frostbite Protection,"Roshan, Shiva Hassanjani",Taylor & Francis,2022
,64,Parallel and distributed computer architectures for artificial intelligence applications,"Plander, I.",World Scientific,1997
,65,Introducing article numbering to Artificial Intelligence,"Roffel, Sweitze","Elsevier Science B.V., Amsterdam.",2020
,66,Artificial Intelligence in Cars: How Close Yet Far Are We from Fully Autonomous Vehicles?,"Palade, VasileDeo, Ankur",World Scientific Publishing,2022
,67,E-Discovery revisited: the need for artificial intelligence beyond information retrieval,"Conrad, J. G.",Springer Science + Business Media,2010
