Unnamed: 0,번호,제목,저자,출판사,출판일
,68,Artificial intelligence in medicine AIME'07,"Bellazzi, R.; Abu-Hanna, A.","Elsevier Science B.V., Amsterdam.",2009
,69,A new approach to predicting mortality in dialysis patients using sociodemographic features based on artificial intelligence,"Díez-Sanmartín, Covadonga;Cabezuelo, Antonio SarasaBelmonte, Amado Andrés",Elsevier,2023
,70,Artificial intelligence (AI) in breast cancer care - leveraging multidisciplinary skills to improve care,"Cardoso, Maria Joao; Houssami, Nehmat; Pozzi, Giuseppe; Séroussi, Brigitte","Elsevier Science B.V., Amsterdam.",2022
,71,Artificial Intelligence in Medicine AIME 2009,"Shahar, Y.; Combi, C.","Elsevier Science B.V., Amsterdam.",2011
,72,Editorial from the new Editor-in-Chief: Artificial Intelligence in Medicine and the forthcoming challenges,"Combi, Carlo","Elsevier Science B.V., Amsterdam.",2017
,73,Application of artificial intelligence to engineering design within a multi-national environment,"Smart, V. R.;Winfield, M. J.;Douglas, S. S.;Graham, I. D.",Computational Mechanics Pubns.,1994
,74,Special section on artificial intelligence for diabetes,"López, Beatriz; Martin, Clare; Viñas, Pau Herrero","Elsevier Science B.V., Amsterdam.",2018
,75,Artificial intelligence applications in Permanent Magnet Brushless DC motor drives,"Gupta, R. A.; Kumar, R.; Bansal, A. K.",Springer Science + Business Media,2010
,76,Artificial Intelligence in Medicine AIME 2015,"John H. Holmes, Lucia Sacchi, Riccardo Bellazzi, Niels Peek",ELSEVIER,2017
,77,Explainable artificial intelligence for breast cancer: A visual case-based reasoning approach,"Lamy, Jean-Baptiste; Sekar, Boomadevi; Guezennec, Gilles; Bouaud, Jacques; Séroussi, Brigitte","Elsevier Science B.V., Amsterdam.",2019
,78,"A correction to ""Nonmonotonic inconsistency"" [Artificial Intelligence 149 (2003) 161-178]","Cross, C. B.","Elsevier Science B.V., Amsterdam.",2004
,79,Applications of massively parallel architectures in artificial intelligence and knowledge processing,"Plander, I.",World Scientific,1994
,80,Book Review: Bayesian Artificial Intelligence,"Vreeswijk, G. A.",Kluwer Academic Publishers,2003
,81,Non-obvious correlations to disease management unraveled by Bayesian artificial intelligence analyses of CMS data,"Vemulapalli, V.; Qu, J.; Garren, J. M.; Rodrigues, L. O.; Kiebish, M. A.; Sarangarajan, R.; Narain, N. R.; Akmaev, V. R.","Elsevier Science B.V., Amsterdam.",2016
,82,Artificial Intelligence Methods: Toward a New Decision Making Tool,"Lotfi, Ismail",Taylor & Francis,2022
,83,Artificial intelligence framework for simulating clinical decision-making: A Markov decision process approach,"Bennett, C. C.; Hauser, K.","Elsevier Science B.V., Amsterdam.",2013
,84,Artificial intelligence in medicine AIME 2011,"Peleg, M.; Combi, C.","Elsevier Science B.V., Amsterdam.",2013
,85,Application of artificial intelligence to engineering design within a multi-national environment,"Smart, V. R.;Winfield, M. J.;Douglas, S. S.;Graham, I. D.",Computational Mechanics Publications,1994
,86,Combining Artificial Intelligence and Human Problem Solving: Proposing a New Architecture for ITS's,"de Sa Leite, A.;Omar, N.",Ohmsha,1999
,87,Artificial intelligence and the future of psychiatry: Insights from a global physician survey,"Doraiswamy, P. Murali; Blease, Charlotte; Bodner, Kaylee","Elsevier Science B.V., Amsterdam.",2020
,88,Interaction protocols in distributed artificial intelligence and their use to control robot vision systems,"Demazeau, Y.; Boissier, O.; Koning, J.-L.",World Scientific,1994
,89,"Book Review: Pamela N. Gray Artificial Legal Intelligence, Darmouth, Aldershot, England, 1997, (ISBN 1-85521-266-8)","Lodder, A. R.",Springer Science + Business Media,2004
,90,Implementation of artificial intelligence in medicine: Status analysis and development suggestions,"Xiang, Yifan; Zhao, Lanqin; Liu, Zhenzhen; Wu, Xiaohang; Chen, Jingjing; Long, Erping; Lin, Duoru; Zhu, Yi; Chen, Chuan; Lin, Zhuoling; Lin, Haotian","Elsevier Science B.V., Amsterdam.",2020
,91,Evolution of artificial intelligence,"Spector, L.","Elsevier Science B.V., Amsterdam.",2006
,92,Trends in Artificial Intelligence Applications for Real-Time Control (A Speculative Study),"Motus, L.",Pergamon,1994
,93,The automation of bias in medical Artificial Intelligence (AI): Decoding the past to create a better future,"Straw, Isabel","Elsevier Science B.V., Amsterdam.",2020
,94,Embodied artificial intelligence,"Chrisley, R.","Elsevier Science B.V., Amsterdam.",2003
,95,"Human-level artificial general intelligence and the possibility of a technological singularity:A reaction to Ray Kurzweils The Singularity Is Near, and McDermotts critique of Kurzweil","Goertzel, B.","Elsevier Science B.V., Amsterdam.",2007
,96,Artificial intelligence applied to support medical decisions for the automatic analysis of echocardiogram images: A systematic review,"de Siqueira, Vilson Soares; Borges, Moisés Marcos; Furtado, Rogério Gomes; Dourado, Colandy Nunes; da Costa, Ronaldo Martins","Elsevier Science B.V., Amsterdam.",2021
,97,A New Artificial Intelligence Technique to Simulate Finite State Machines,"Gonzalez, H. S.",ITESM,1995
,98,Artificial intelligence in gynecologic cancers: Current status and future challenges – A systematic review,"Akazawa, Munetoshi; Hashimoto, Kazunori","Elsevier Science B.V., Amsterdam.",2021
,99,Erratum to: Reasoning with infinite stable models [Artificial Intelligence 156 (1) (2004) 75-111],"Bonatti, P. A.","Elsevier Science B.V., Amsterdam.",2008
,100,Ethical evaluation of artificial intelligence applications in radiotherapy using the Four Topics Approach,"Yirmibesoglu Erkal, Eda; Akpınar, Aslıhan; Erkal, Haldun Şükrü","Elsevier Science B.V., Amsterdam.",2021
,1,A healthy debate: Exploring the views of medical doctors on the ethics of artificial intelligence,"Martinho, Andreia; Kroesen, Maarten; Chorus, Caspar","Elsevier Science B.V., Amsterdam.",2021
,2,Artificial Intelligence technique for modelling and forecasting of solar radiation data: a review,"Mellit, Adel",Inderscience,2008
,3,"Symbiosis with artificial intelligence via the prism of law, robots, and society","Karnouskos, Stamatis",Springer,2022
,4,Thirty years of artificial intelligence in medicine (AIME) conferences: A review of research themes,"Peek, N.; Combi, C.; Marin, R.; Bellazzi, R.","Elsevier Science B.V., Amsterdam.",2015
,5,"Artificial Intelligence requires more than deep learning — but what, exactly?","Wooldridge, Michael","Elsevier Science B.V., Amsterdam.",2020
,6,Argumentation in artificial intelligence,"Bench-Capon, T. J.; Dunne, P. E.","Elsevier Science B.V., Amsterdam.",2007
,7,A 30-year case study and 15 principles: Implications of an artificial intelligence methodology for functional modeling,"Goel, A.K.",Cambridge University Press,2013
,8,"Classification of myocardial infarction based on hybrid feature extraction and artificial intelligence tools by adopting tunable-Q wavelet transform (TQWT), variational mode decomposition (VMD) and neural networks","Zeng, Wei; Yuan, Jian; Yuan, Chengzhi; Wang, Qinghui; Liu, Fenglin; Wang, Ying","Elsevier Science B.V., Amsterdam.",2020
,9,Personalized risk prediction for breast cancer pre-screening using artificial intelligence and thermal radiomics,"Kakileti, Siva Teja; Madhu, Himanshu J.; Manjunath, Geetha; Wee, Leonard; Dekker, Andre; Sampangi, Sudhakar","Elsevier Science B.V., Amsterdam.",2020
,10,Artificial Intelligence Within the Bounds of Ontological Reason,"Oltramari, Alessandro",IOS Press,2019
,11,Wearable computing and artificial intelligence for healthcare applications,"Lukowicz, P.","Elsevier Science B.V., Amsterdam.",2008
,12,Canada protocol: An ethical checklist for the use of artificial Intelligence in suicide prevention and mental health,"Mörch, Carl-Maria; Gupta, Abhishek; Mishara, Brian L.","Elsevier Science B.V., Amsterdam.",2020
,13,Fuzzy set and possibility theory-based methods in artificial intelligence,"Dubois, D.; Prade, H.","Elsevier Science B.V., Amsterdam.",2003
,14,Complexity and spectral analysis of the heart rate variability dynamics for distant prediction of paroxysmal atrial fibrillation with artificial intelligence methods,"Chesnokov, Y. V.","Elsevier Science B.V., Amsterdam.",2008
,15,Shifting viewpoints: Artificial intelligence and human-computer interaction,"Winograd, T.","Elsevier Science B.V., Amsterdam.",2006
,16,"Corrigendum to ""Qualitative decision theory with preference relations and comparative uncertainty: an axiomatic approach"" [Artificial Intelligence 148 (1-2) (2003) 219-260]","Dubois, D.; Fargier, H.; Perny, P.","Elsevier Science B.V., Amsterdam.",2007
,17,Artificial Intelligence in Purchasing: Facilitating Mechanism Design-based Negotiations,"Schulze-Horn, Ines; Hueren, Sabrina; Scheffler, Paul; Schiele, Holger",Taylor & Francis,2020
,18,The Holistic Side of the Serendipitous Effect and Artificial Intelligence,"Caraca-Valente, J. P.; Gomez-Perez, A.; Juristo, N.; Pazos, J.",University of New Brunswick,1993
,19,How Ideas but not Tools of Artificial Intelligence Help to Effectively Develop the Intelligence of Young Children and Teenagers,"Fomichov, V. A.;Fomichova, O. S.",Ohmsha,1999
,20,Open Information Systems Semantics for distributed artificial intelligence,"Hewitt, C.",North-Holland Pub. Co. [etc.],1991
,21,Fair Multi-path Selection for Real-time Video Transmission in Ad-Hoc Networks Using Artificial Intelligence,"Kwan, M.; Dogancay, K.; Jain, L.","Amsterdam; London:; IOS Press,; Tokyo:; Ohmsha,",2003
,22,Artificial intelligence in perspective: a retrospective on fifty volumes of the Artificial Intelligence Journal,"Bobrow, D.G.",North-Holland Pub. Co. [etc.],1993
,23,An artificial intelligence approach for generating assembly sequences in CAD/CAM,"Rabemanantsoa, M",Computational Mechanics Publications,1996
,24,COMPAQ QuickSource: Providing the Consumer with the Power of Artificial Intelligence,"Nguyen, T.; Czerwinsksi, M.; Lee, D.",AAAI Press,1993
,25,Paul R. Cohen's Empirical Methods for Artificial Intelligence,"Kibler, Dennis",North-Holland Pub. Co. [etc.],1999
,26,"The history of artificial intelligence or from the ""Dark Ages"" to the knowledge-based systems","Negnevitsky, M.",Computational Mechanics,1997
,27,"Is artificial intelligence a degenerating program?: a review of Hubert Dreyfus' What Computers Still Can't Do : (MIT Press, Cambridge, MA, 1992); liii + 354 pages, $13.95","Strom, John D. ; Darden, Lindley",North-Holland Pub. Co. [etc.],1996
,28,An Analysis of Factors Directing the Admission Process of Artificial Intelligence Technologies,"Vassalos, V. A.;Venkatasubramanian, S.",ITESM,1995
,29,Artificial Intelligence in Medicine AIME 2013,"Peek, N.; Morales, R. M.; Peleg, M.","Elsevier Science B.V., Amsterdam.",2015
,30,Artificial Intelligence Basic Research Directions at the U.S. Air Force,Peter Z. Revesz,WORLD SCIENTIFIC PUBLISHING,2014
,31,Successful Applications of Artificial Intelligence in the Petroleum Industry,"Braunschweig, B.; Bremdal, B. A.",Editions Technip,1995
,32,Socio-Economic Simulation With Artificial Intelligence Coordination of Private Investment and Fiscal Policy in a Multinational Environment,"Walter, J. P.; Lopilato, C.",University of New Brunswick,1993
,33,Quantifying inductive bias: AI learning algorithms and valiant's learning framework - D. Haussler [Artificial Intelligence 36 (1988) 177-221],unknown,North-Holland Pub. Co. [etc.],1990
,34,Modelling the concurrent engineering environment using artificial intelligence techniques,"Baker, R.;Short, C.;Tranter, I.;Meehan, A.",Computational Mechanics,1995
,35,Artificial Intelligence and Unmanned Aerial Vehicles,"Doherty, P.",IOS Press,2006
,36,Machine learning in artificial intelligence,"Bratko, I.",00,1993
,37,"Artificial intelligence, machine learning and process automation: existing knowledge frontier and way forward for mining sector","Ali, Danish",Springer Nature,2020
,38,ARTIFICIAL INTELLIGENCE GOES MOBILE,"Kruger, A.; Malaka, R.",TAYLOR & FRANCIS LTD,2004
,39,Artificial intelligence and learning environments: Preface,"Clancey, W.J. ; Soloway, E.",North-Holland Pub. Co. [etc.],1990
,40,Artificial Driving Intelligence and Moral Agency: Examining the Decision Ontology of Unavoidable Road Traffic Accidents through the Prism of the Trolley Dilemma,"Cunneen, Martin; Mullins, Martin; Murphy, Finbarr; Gaines, Seán",Taylor & Francis,2019
,41,"Artificial General Intelligence Through Large-Scale, Multimodal Bayesian Learning","Milch, B.",IOS Press,2008
,42,A Control Engineer's View of Artificial Intelligence,"Rauch, H. E.",Pergamon,1997
,43,An Artificial Intelligence Methodology for the Adaptation of Agricultural Models,"Jacucci, G.; Foy, M.; Uhrik, C.",Elsevier,1995
,44,Explainable Artificial Intelligence for Training and Tutoring,"Lane, H.C.; Core, M.G.; van Lent, M.; Solomon, S.; Gomboc, D.","Washington, DC; Oxford; IOS Press",2005
,45,Logic and artificial intelligence,"Nilsson, N.J.",North-Holland Pub. Co. [etc.],1991
,46,On logical foundations of artificial intelligence - A response to the reviews by S. Smoliar and J. Sowa,"Nilsson, N.",North-Holland Pub. Co. [etc.],1989
,47,A manifesto on explainability for artificial intelligence in medicine,"Combi, Carlo;Amico, Beatrice;Bellazzi, Riccardo;Holzinger, Andreas;Moore, Jason H.;Zitnik, MarinkaHolmes, John H.",Elsevier Science Pub. Co.,2022
,48,Applications of Artificial Intelligence and Cognitive Science Techniques in Banking,"Lenca, P.",Kluwer Academic,1996
,49,ARTIFICIAL INTELLIGENCE AND FORMALISMS FOR LEGAL EVIDENCE: AN INTRODUCTION,"Nissan, E.; Martino, A. A.",TAYLOR & FRANCIS LTD,2004
,50,Artificial intelligence for secure network communications,"Johnson, J.; Derzaph, T.; Firor, J.",Computational Mechanics,1996
,51,Artificial intelligence based cognitive routing for cognitive radio networks,"Qadir, J.",Springer Science + Business Media,2016
,52,Artificial Intelligence in Process Control of Pulsed Laser Deposition,"Laube, S. J. P.;Stark, E. F.",Pergamon,1994
,53,Special issue on Explainable Artificial Intelligence (XAI),"Miller, Tim","Elsevier Science B.V., Amsterdam.",2022
,54,"Music, mind and machine: Studies in computer music, music cognition and artificial intelligence : Peter Desain and Henkjan Honing, (Thesis Publishers, Amsterdam, 1992); 330 pages","Smoliar, Stephen W.",North-Holland Pub. Co. [etc.],1995
,55,The Development of an Artificial Intelligence Real-Time Toolkit: REAKT,"Galan, J. J.;Gonzalez-Quel, A.",Pergamon,1994
,56,Artificial Intelligence or Stochastic Relaxation: Simulated Annealing Challenge,"Grigoriev, A. V.",Ellis Horwood,1990
,57,"Artificial intelligence and differential games theory for studying fighter plane conflicts with ""fire and forget"" missiles","Le Menec, S.",EC2,1993
,58,ARTIFICIAL INTELLIGENCE SOLUTION TO ELECTRICITY PRICE FORECASTING PROBLEM,"Georgilakis, P.",Taylor & Francis,2007
,59,Artificial intelligence techniques for driving safety and vehicle crash prediction,"Halim, Z.; Kalsoom, R.; Bashir, S.; Abbas, G.",Springer Science + Business Media,2016
,60,Practical Application of Artificial Intelligence in Education And Training,"Dannhauser, L.",Kluwer Academic,1996
,61,A Study on Real-Time Artificial Intelligence,"Tay, E. B.;Gan, O. P.;Ho, W. K.",Pergamon,1997
,62,Artificial General Intelligence via Finite Covering with Learning,"Hwang, Y.K.; Hwang, S.B.; Hwang, D.B.",IOS Press,2008
,63,Sharing Domain Knowledge in Distributed Artificial Intelligence,"Chao, K.-M.; Guenov, M.; Hills, B.; Smith, P.",Ohmsha,1996
,64,Paul R. Cohen's Empirical Methods for Artificial Intelligence,"Gent, Ian P. ; Walsh, Toby",North-Holland Pub. Co. [etc.],1999
,65,"Logical foundations of artificial intelligence - Michael R. Genesereth and Nils J. Nilsson, (Morgan Kaufmann, Los Altos, CA, 1987); xviii + 406 pages","Smoliar, S.W.",North-Holland Pub. Co. [etc.],1989
,66,"Logical foundations of artificial intelligence - Michael R. Genesereth and Nils J. Nilsson, (Morgan Kaufmann, Los Altos, CA, 1987); 406 + xviii pages","Sowa, J.F.",North-Holland Pub. Co. [etc.],1989
,67,Human-Artificial-Intelligence Hybrid Learning Systems,"Herd, S.; Urland, G.; Mingus, B.; O Reilly, R.",IOS Press,2011
,68,AI EDAM at 20: Artificial Intelligence in Designing,"Gero, J. S.",ACADEMIC PRESS,2007
,69,Artificial intelligence approaches to determination of CNC machining parameters in manufacturing,"Park, K. S.",00,1998
,70,Artificial intelligence test: a case study of intelligent vehicles,"Li, Li; Lin, Yi-Lun; Zheng, Nan-Ning; Wang, Fei-Yue; Liu, Yuehu; Cao, Dongpu; Wang, Kunfeng; Huang, Wu-Ling",Springer Nature,2018
,71,Artificial intelligence and natural magic,"Sharkey, N.; Sharkey, A.",Springer Academic,2006
,72,Automated quality control in the food industry combining artificial intelligence techniques with fractal theory,"Castillo, O.;Melin, P.",Computational Mechanics,1995
,73,Artificial intelligence approaches to determination of CNC machining parameters in manufacturing,"Park, K. S",Computational Mechanics Publications,1998
,74,Artificial intelligence in safety engineering,"Zerkani, H.;Baker, M. J.",Computational Mechanics Pubns.,1994
,75,A letter to a friend: Artificial intelligence and intelligent artifacts,"Do, Ellen Yi-Luen",Academic Press,2012
,76,Artificial Intelligence Techniques for Scheduling Space Shuttle Missions,"Henke, A. L.; Stottler, R. H.",FAU,1992
,77,Three new publication categories for the Artificial Intelligence Journal,"Cohn, A.G. ; Perlis, Donald R.",North-Holland Pub. Co. [etc.],1999
,78,Levels of explainable artificial intelligence for human-aligned conversational explanations,"Dazeley, Richard; Vamplew, Peter; Foale, Cameron; Young, Charlotte; Aryal, Sunil; Cruz, Francisco","Elsevier Science B.V., Amsterdam.",2021
,79,Hard choices in artificial intelligence,"Dobbe, Roel; Krendl Gilbert, Thomas; Mintz, Yonatan","Elsevier Science B.V., Amsterdam.",2021
,80,Artificial Intelligence in Psychomotor Learning: Modeling Human Motion from Inertial Sensor Data,"Santos, Olga C.",World Scientific,2019
,81,"The winter, the summer and the summer dream of artificial intelligence in law","Francesconi, Enrico",Springer,2022
,82,Special Issue: New Artificial Intelligence Paradigms for Manufacturing,"Gaines, D. M.; Regli, W. C.",ACADEMIC PRESS,2003
,83,Artificial Intelligence in Medicine in Europe AIME'03,"Dojat, M.; Keravnou, E.","Elsevier Science B.V., Amsterdam.",2005
,84,Using artificial intelligence to support compliance with the general data protection regulation,"Kingston, J.",Springer Science + Business Media,2017
,85,A 30-year case study and 15 principles: Implications of an artificial intelligence methodology for functional modeling,"Goel, A.K.",Academic Press,2013
,86,On the relation between default and autoepistemic logic - K. Konolige [Artificial Intelligence 35 (1988) 343-382],unknown,North-Holland Pub. Co. [etc.],1989
,87,Pedagogic Resources for Artificial Intelligence in the Undergraduate Computer Science Curriculum,"Manaris, B.; Russell, I.",The Society,1996
,88,Artificial intelligence techniques to predict urban traffic indicators,"Mussone, L.",Computational Mechanics,1997
,89,Artificial intelligence and networking,"Curran, K.; Becker, C.;  Marshall, A..",Springer Science + Business Media,2008
,90,"Artificial intelligence in engineering: past, present and future","Rzevski, G.",Computational Mechanics,1995
,91,SEPIA : a real-time system for operating railway points using artificial intelligence techniques,"Gauyacq, D.",Nanterre,1992
,92,A Comprehensive Artificial Intelligence Based User Intention Assessment Model from Online Reviews and Social Media,"Sharma, Archika",Taylor & Francis,2022
,93,Evaluating representational systems in artificial intelligence,"Licato, John; Zhang, Zhitian",Springer Nature,2017
,94,Why Not Robot Teachers: Artificial Intelligence for Addressing Teacher Shortage,"Edwards, Bosede I.; Cheok, Adrian D.",Taylor & Francis,2018
,95,Editorial: The 17th Artificial Intelligence and Cognitive Science Conference (AICS-06),"Bell, D.; Milligan, P.; Sage, P.",Springer Science + Business Media,2006
,96,Editorial – The 15th Artificial Intelligence and Cognitive Science Conference (AICS-04),"McGinty, L.; Crean, B.",Kluwer Academic Publishers,2005
,97,Introduction The 14th Artificial Intelligence and Cognitive Science Conference (AICS-03),"Cunningham, P.",Kluwer Academic Publishers,2004
,98,LEGAL EVIDENCE SCHOLARSHIP MEETS ARTIFICIAL INTELLIGENCE,"Nissan, E.",TAYLOR & FRANCIS LTD,2004
,99,Systematic Review of Financial Distress Identification using Artificial Intelligence Methods,"Kuizinienė, Dovilė",Taylor & Francis,2022
,100,Using Artificial Intelligence for Intrusion Detection,"Gagnon, F.; Esfandiari, B.",IOS Press,2007
,1,A Comprehensive Literature Review of Application of Artificial Intelligence in Functional Magnetic Resonance Imaging for Disease Diagnosis,"Nawaz, Ali; Rehman, Attique Ur; Ali, Tahir Mohammad; Hayat, Zara; Rahim, Aqsa; Uz Zaman, Uzair Khaleeq; Ali, Amad Rizwan",Taylor & Francis,2021
,2,APPLYING ARTIFICIAL INTELLIGENCE TO VIRTUAL REALITY: INTELLIGENT VIRTUAL ENVIRONMENTS,"Aylett, R.",TAYLOR & FRANCIS LTD,2000
,3,Neonatal intensive care decision support systems using artificial intelligence techniques: a systematic review,"Malak, Jaleh Shoshtarian; Zeraati, Hojjat; Nayeri, Fatemeh Sadat; Safdari, Reza; Shahraki, Azimeh Danesh",Springer Nature,2019
,4,An Artificial Intelligence Approach to Course Timetabling,"Lai, L.F.; Wu, C.-C.; Hsueh, N.-L.; Huang, L.-T.; Hwang, S.-F.",WORLD SCIENTIFIC PUBLISHING,2008
,5,Comparison of Artificial Intelligence Methods for Modeling Pharmaceutical QSARS,"King, R. D.",TAYLOR & FRANCIS LTD,1995
,6,Deciding Heavy Metal Levels in Soil Based on Various Ecological Information through Artificial Intelligence Modeling,"Sari, Murat",Taylor & Francis,2022
,7,Exploring Internet Meme Activity during COVID-19 Lockdown Using Artificial Intelligence Techniques,"Priyadarshini, Ishaani",Taylor & Francis,2022
,8,Verifying Artificial Intelligence,"Kisil, V. V.; Pilipenko, O. P.",Universidad Panamericana,1994
,9,A Framework for Integrating Artificial Intelligence and Simulation,"Doukidis, G. I.",KLUWER ACADEMIC PUBLISHERS,1994
,10,Affective Artificial Intelligence in Education: From Detection to Adaptation,"Blanchard, E.G.; Volfson, B.; Hong, Y.-J.; Lajoie, S.P.",IOS Press,2009
,11,Evaluation of Artificial Intelligence Architectures for Optimization of Recombinant Glucoamylase Production in a Microbioreactor,"Patnaik, Pratap R.",Taylor & Francis,2015
,12,Can Artificial Intelligence Boost Employment in Service Industries? Empirical Analysis Based on China,"Gu, Ting-Ting",Taylor & Francis,2022
,13,Editorial: the 18th artificial intelligence and cognitive science conference (AICS-07),"Madden, M. G.; Delany, S. J.",Springer Science + Business Media,2007
,14,An Artificial Intelligence Neural Network Predictive Model for Anomaly Detection and Monitoring of Wind Turbines Using SCADA Data,"Amini, Amin",Taylor & Francis,2022
,15,A Comparative Study of Artificial Intelligence Models for Predicting Interior Illuminance,"Arbab, Maryam; Rahbar, Morteza; Arbab, Mojgan",Taylor & Francis,2021
,16,Correction to: Evaluating representational systems in artificial intelligence,"Licato, John; Zhang, Zhitian",Springer Nature,2019
,17,AUTHENTIC INTERACTIVE REENACTMENT OF CULTURAL HERITAGE WITH 3D VIRTUAL WORLDS AND ARTIFICIAL INTELLIGENCE,"Bogdanovych, A.; Rodriguez-Aguilar, J. A.; Simoff, S.; Cohen, A.",Taylor & Francis,2010
,18,Travel Plans in Public Transit Networks Using Artificial Intelligence Planning Models,"Elizalde-Ramírez, Fernando; Nigenda, Romeo Sanchez; Martínez-Salazar, Iris A.; Ríos-Solís, Yasmín Á.",Taylor & Francis,2019
,19,Managing computer files via artificial intelligence approaches,"Jin, X.; Jiang, J.; Min, G.",Springer Science + Business Media,2009
,20,Determining Flow Friction Factor in Irrigation Pipes Using Data Mining and Artificial Intelligence Approaches,"Samadianfard, S.; Sattari, M.T.; Kisi, O.; Kazemi, H.",Taylor & Francis,2014
,21,Editorial - Artificial Intelligence in Logic Design,"Yanushkevich, S. N.",Kluwer Academic Publishers,2003
,22,Application of artificial intelligence techniques in the petroleum industry: a review,"Rahmanifard, Hamid; Plaksina, Tatyana",Springer Nature,2019
,23,The use of artificial intelligence based techniques for intrusion detection: a review,"Kumar, G.; Kumar, K.; Sachdeva, M.",Springer Science + Business Media,2010
,24,"B. R. Donald, D. Kapur, and L. L. Mundy, Symbolic and Numerical Computation for Artificial Intelligence","Bolc, L.",KLUWER ACADEMIC PUBLISHERS,1995
,25,Can artificial intelligence benefit from quantum computing?,"Moret-Bonillo, V.",Springer,2015
,26,New Artificial Intelligence Approach to Inclination Measurement Based on MEMS Accelerometer,"Hoang, Minh Long; Pietrosanto, Antonio",IEEE,2022
,27,Enterprise AI Canvas Integrating Artificial Intelligence into Business,"Kerzel, Ulrich",Taylor & Francis,2021
